"ref","article_id","study_id","participant_id","effect_id","effect_size","outlier","cooks","cooks_flag","intrcpt","intrcpt.1","hatvalues","hat_flag"
"banks2021_s1",1,1,1,1,0.0937607008039959,"",2.46748601227652e-05,"",0.00496837090589101,"",0.00368670715059717,""
"banks2021_s1",1,1,1,2,0.0937607008039959,"",2.46748601227652e-05,"",0.00496837090589101,"",0.00368670715059716,""
"banks2021_s1",1,1,1,3,0.0237227112653377,"",1.7795290973013e-05,"",-0.00421719989231595,"",0.00369049420299242,""
"banks2021_s1",1,1,1,4,0.0237227112653377,"",1.7795290973013e-05,"",-0.00421719989231595,"",0.00369049420299242,""
"banks2021_s2",1,2,2,5,0.0314684149012287,"",3.62250732328899e-05,"",0.00601826138514394,"",0.00178923532355747,""
"banks2021_s2",1,2,2,6,0.0314684149012287,"",3.62250732328899e-05,"",0.00601826138514394,"",0.00178923532355747,""
"banks2021_s2",1,2,2,7,0.0314684149012287,"",3.62250732328899e-05,"",0.00601826138514394,"",0.00178923532355746,""
"banks2021_s2",1,2,2,8,0.0314684149012287,"",3.62250732328899e-05,"",0.00601826138514394,"",0.00178923532355747,""
"banks2021_s2",1,2,2,9,-0.201638369630979,"",3.83533476979403e-05,"",-0.0061925395485363,"",0.00178100618474801,""
"banks2021_s2",1,2,2,10,-0.201638369630979,"",3.83533476979403e-05,"",-0.0061925395485363,"",0.001781006184748,""
"banks2021_s2",1,2,2,11,-0.201638369630979,"",3.83533476979403e-05,"",-0.0061925395485363,"",0.00178100618474801,""
"banks2021_s2",1,2,2,12,-0.201638369630979,"",3.83533476979403e-05,"",-0.0061925395485363,"",0.001781006184748,""
"bigman2018_s3",2,3,3,13,-0.56610395478109,"TRUE",2.25525840747225e-07,"",-0.000474941115910737,"",0.000829744452177353,""
"bigman2018_s3",2,3,3,14,-0.56610395478109,"TRUE",2.25525840747225e-07,"",-0.000474941115910737,"",0.000829744452177304,""
"bigman2018_s3",2,3,3,15,-0.56610395478109,"TRUE",2.25525840747225e-07,"",-0.000474941115910737,"",0.0008297444521773,""
"bigman2018_s3",2,3,3,16,-0.56610395478109,"TRUE",2.25525840747225e-07,"",-0.000474941115910737,"",0.000829744452177304,""
"bigman2018_s3",2,3,3,17,-0.56610395478109,"TRUE",2.25525840747225e-07,"",-0.000474941115910737,"",0.000829744452177342,""
"bigman2018_s3",2,3,3,18,-0.56610395478109,"TRUE",2.25525840747225e-07,"",-0.000474941115910737,"",0.00082974445217735,""
"bigman2018_s3",2,3,3,19,-0.566709185933302,"TRUE",2.36988162320807e-07,"",-0.000486862208149885,"",0.000829676214887883,""
"bigman2018_s3",2,3,3,20,-0.566709185933302,"TRUE",2.36988162320807e-07,"",-0.000486862208149885,"",0.000829676214887888,""
