"","X","ref","article_id","study_id","participant_id","efN_id","dv_var","pct_female","age_mean","age_sd","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","humanN","humanMean","humanSD","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN.1","humanN.0","yi","vi","yi_orig","og_participant_id","og_efN_id","apa_ref","study_num","dv_var_cap","apa_ref_display","study_display","slab_labels"
"14",14,"bigman2018_s3",2,3,3,14,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-0.659323890600048,"blame",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731,NA,3,3,"Bigman et al., (2018)","Study 3","Moral"," "," ","    "
"15",15,"bigman2018_s3",2,3,3,15,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-0.659323890600048,"blame",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731,NA,3,3,"Bigman et al., (2018)","Study 3","Moral"," "," ","    "
"16",16,"bigman2018_s3",2,3,3,16,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI",-0.660618046519466,-3.45395615704231,-1.01925079229905,"punishment",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731,NA,3,3,"Bigman et al., (2018)","Study 3","Moral"," "," ","    "
"17",17,"bigman2018_s3",2,3,3,17,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-1.01925079229905,"punishment",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731,NA,3,3,"Bigman et al., (2018)","Study 3","Moral"," "," ","    "
"18",18,"bigman2018_s3",2,3,3,18,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-1.01925079229905,"punishment",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731,NA,3,3,"Bigman et al., (2018)","Study 3","Moral"," "," ","    "
"19",19,"bigman2018_s3",2,3,3,19,"right",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","right","sidee","action",59.5,"harm","implied","AI","AI",-0.660618046519466,-3.45395615704231,-0.659323890600048,"blame",118,4.99152542372881,2.28893945027832,108,3.68518518518519,2.30662657003908,NA,NA,NA,NA,-0.566709185933302,0.0184443649583687,NA,3,4,"Bigman et al., (2018)","Study 3","Right"," "," ","    "
"20",20,"bigman2018_s3",2,3,3,20,"right",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","right","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-0.659323890600048,"blame",118,4.99152542372881,2.28893945027832,108,3.68518518518519,2.30662657003908,NA,NA,NA,NA,-0.566709185933302,0.0184443649583687,NA,3,4,"Bigman et al., (2018)","Study 3","Right"," "," ","    "
"21",21,"bigman2018_s3",2,3,3,21,"right",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","right","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-0.659323890600048,"blame",118,4.99152542372881,2.28893945027832,108,3.68518518518519,2.30662657003908,NA,NA,NA,NA,-0.566709185933302,0.0184443649583687,NA,3,4,"Bigman et al., (2018)","Study 3","Right"," "," ","    "
"22",22,"bigman2018_s3",2,3,3,22,"right",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","right","sidee","action",59.5,"harm","implied","AI","AI",-0.660618046519466,-3.45395615704231,-1.01925079229905,"punishment",118,4.99152542372881,2.28893945027832,108,3.68518518518519,2.30662657003908,NA,NA,NA,NA,-0.566709185933302,0.0184443649583687,NA,3,4,"Bigman et al., (2018)","Study 3","Right"," "," ","    "
"23",23,"bigman2018_s3",2,3,3,23,"right",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","right","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-1.01925079229905,"punishment",118,4.99152542372881,2.28893945027832,108,3.68518518518519,2.30662657003908,NA,NA,NA,NA,-0.566709185933302,0.0184443649583687,NA,3,4,"Bigman et al., (2018)","Study 3","Right"," "," ","    "
