"","ref","article_id","study_id","participant_id","efN_id","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN","humanMean","humanSD","humanN.1","humanN.0","dv_var","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","yi","vi"
"1","banks2021_s1",1,1,1,1,194,4.31443298969072,2.3389244988987,NA,NA,208,4.08653846153846,2.50452952729708,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","-0.241221738398021",NA,"-0.249494135653254","responsible",0.0937607008039959,0.0099732656483919
"2","banks2021_s1",1,1,1,2,194,4.31443298969072,2.3389244988987,NA,NA,208,4.08653846153846,2.50452952729708,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","0.102946969089547",NA,"-0.249494135653254","responsible",0.0937607008039959,0.0099732656483919
"3","banks2021_s1",1,1,1,3,194,4.23092783505155,1.83830068099018,NA,NA,208,4.18557692307692,1.97099343593251,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","-0.241221738398021",NA,"-0.249494135653254","responsible",0.0237227112653377,0.0099630314419423
"4","banks2021_s1",1,1,1,4,194,4.23092783505155,1.83830068099018,NA,NA,208,4.18557692307692,1.97099343593251,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","0.102946969089547",NA,"-0.249494135653254","responsible",0.0237227112653377,0.0099630314419423
"5","banks2021_s2",1,2,2,5,58,0.344827586206896,2.43909477123897,NA,NA,34,0.264705882352941,2.66638813162098,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","-0.584197972482007","-0.690200974549606","0.0420625273746298","blame",0.0314684149012283,0.0466585258702293
"6","banks2021_s2",1,2,2,6,58,0.344827586206896,2.43909477123897,NA,NA,34,0.264705882352941,2.66638813162098,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","0.244303587013663","-0.690200974549606","0.0420625273746298","blame",0.0314684149012283,0.0466585258702293
"7","banks2021_s2",1,2,2,7,58,0.344827586206896,2.43909477123897,NA,NA,34,0.264705882352941,2.66638813162098,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","-0.584197972482007","-0.690200974549606","-0.284021833546505","praise",0.0314684149012283,0.0466585258702293
"8","banks2021_s2",1,2,2,8,58,0.344827586206896,2.43909477123897,NA,NA,34,0.264705882352941,2.66638813162098,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","0.244303587013663","-0.690200974549606","-0.284021833546505","praise",0.0314684149012283,0.0466585258702293
"9","banks2021_s2",1,2,2,9,58,0.453448275862069,1.81051659946182,NA,NA,34,0.798529411764706,1.48081085967757,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","-0.584197972482007","-0.690200974549606","0.0420625273746298","blame",-0.201638369630979,0.0468741115820285
"10","banks2021_s2",1,2,2,10,58,0.453448275862069,1.81051659946182,NA,NA,34,0.798529411764706,1.48081085967757,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","0.244303587013663","-0.690200974549606","0.0420625273746298","blame",-0.201638369630979,0.0468741115820285
"11","banks2021_s2",1,2,2,11,58,0.453448275862069,1.81051659946182,NA,NA,34,0.798529411764706,1.48081085967757,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","-0.584197972482007","-0.690200974549606","-0.284021833546505","praise",-0.201638369630979,0.0468741115820285
"12","banks2021_s2",1,2,2,12,58,0.453448275862069,1.81051659946182,NA,NA,34,0.798529411764706,1.48081085967757,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","0.244303587013663","-0.690200974549606","-0.284021833546505","praise",-0.201638369630979,0.0468741115820285
"13","bigman2018_s3",2,3,3,13,108,4.16666666666667,2.19387422432316,NA,NA,118,5.43220338983051,2.25880542348937,NA,NA,"moral","continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.297753346006969","-1.45124839972767","-0.370865883535503","blame",-0.56610395478109,0.0184428481136731
"14","bigman2018_s3",2,3,3,14,108,4.16666666666667,2.19387422432316,NA,NA,118,5.43220338983051,2.25880542348937,NA,NA,"moral","continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.316393512566331","-1.45124839972767","-0.370865883535503","blame",-0.56610395478109,0.0184428481136731
"15","bigman2018_s3",2,3,3,15,108,4.16666666666667,2.19387422432316,NA,NA,118,5.43220338983051,2.25880542348937,NA,NA,"moral","continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.323216249720236","-1.45124839972767","-0.370865883535503","blame",-0.56610395478109,0.0184428481136731
"16","bigman2018_s3",2,3,3,16,108,4.16666666666667,2.19387422432316,NA,NA,118,5.43220338983051,2.25880542348937,NA,NA,"moral","continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.297753346006969","-1.45124839972767","-0.658447959178101","punishment",-0.56610395478109,0.0184428481136731
"17","bigman2018_s3",2,3,3,17,108,4.16666666666667,2.19387422432316,NA,NA,118,5.43220338983051,2.25880542348937,NA,NA,"moral","continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.316393512566331","-1.45124839972767","-0.658447959178101","punishment",-0.56610395478109,0.0184428481136731
"18","bigman2018_s3",2,3,3,18,108,4.16666666666667,2.19387422432316,NA,NA,118,5.43220338983051,2.25880542348937,NA,NA,"moral","continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.323216249720236","-1.45124839972767","-0.658447959178101","punishment",-0.56610395478109,0.0184428481136731
"19","bigman2018_s3",2,3,3,19,108,3.68518518518519,2.30662657003908,NA,NA,118,4.99152542372881,2.28893945027832,NA,NA,"right","continuous","right","sidee","action",59.5,"harm","implied","AI","AI","-0.297753346006969","-1.45124839972767","-0.370865883535503","blame",-0.566709185933302,0.0184443649583687
"20","bigman2018_s3",2,3,3,20,108,3.68518518518519,2.30662657003908,NA,NA,118,4.99152542372881,2.28893945027832,NA,NA,"right","continuous","right","sidee","action",59.5,"harm","implied","AI","AI","-0.316393512566331","-1.45124839972767","-0.370865883535503","blame",-0.566709185933302,0.0184443649583687
"21","bigman2018_s3",2,3,3,21,108,3.68518518518519,2.30662657003908,NA,NA,118,4.99152542372881,2.28893945027832,NA,NA,"right","continuous","right","sidee","action",59.5,"harm","implied","AI","AI","-0.323216249720236","-1.45124839972767","-0.370865883535503","blame",-0.566709185933302,0.0184443649583687
"22","bigman2018_s3",2,3,3,22,108,3.68518518518519,2.30662657003908,NA,NA,118,4.99152542372881,2.28893945027832,NA,NA,"right","continuous","right","sidee","action",59.5,"harm","implied","AI","AI","-0.297753346006969","-1.45124839972767","-0.658447959178101","punishment",-0.566709185933302,0.0184443649583687
"23","bigman2018_s3",2,3,3,23,108,3.68518518518519,2.30662657003908,NA,NA,118,4.99152542372881,2.28893945027832,NA,NA,"right","continuous","right","sidee","action",59.5,"harm","implied","AI","AI","-0.316393512566331","-1.45124839972767","-0.658447959178101","punishment",-0.566709185933302,0.0184443649583687
